ID,Source,Category,Perspective,Priority,Purpose,Feed_URL,Full_Text,Cadence
UK01,BBC Politics,UK Politics,Centre/public broadcaster,10,Mainstream neutral UK political news,https://feeds.bbci.co.uk/news/politics/rss.xml,yes,daily
UK02,UK in a Changing Europe,UK Politics,Centre/policy analysis,10,"Academic analysis on UK-EU relations and politics, replaces paywalled FT Politics",https://ukandeu.ac.uk/feed/,yes,daily
UK03,Institute for Government,UK Politics,Neutral policy,10,Neutral Whitehall/policy analysis,https://www.instituteforgovernment.org.uk/rss.xml,yes,daily
UK05,The Guardian Politics,UK Politics,Centre-left,8,Centre-left UK political coverage,https://www.theguardian.com/politics/rss,yes,daily
UK07,ConservativeHome,UK Politics,Centre-right/right,8,"Grassroots Conservative commentary, replaces paywalled Telegraph Politics",https://conservativehome.com/feed/,yes,daily
UK08,UnHerd,UK Politics,Right/contrarian,7,"Contrarian commentary, replaces paywalled Spectator",https://unherd.com/feed/,yes,daily
UK09,Centre for Social Justice,UK Politics,Centre-right policy,9,Centre-right social policy think tank,https://www.centreforsocialjustice.org.uk/feed,yes,daily
UK10,Centre for Policy Studies,UK Politics,Centre-right policy,8,"Centre-right policy think tank. Fixed: /feed/ redirected to homepage, correct feed uses a post_type query param",https://cps.org.uk/feed/?post_type=news,yes,daily
WP01,Reuters World,Global Politics,Neutral,10,"Reuters discontinued public RSS in 2020. Confirmed working workaround: Google News site-search feed, returns live Reuters items",https://news.google.com/rss/search?q=site:reuters.com+world&hl=en-US&gl=US&ceid=US:en,yes,daily
WP02,Associated Press World,Global Politics,Neutral,9,"AP has no official public RSS. Confirmed working workaround: Google News site-search feed, returns live AP items",https://news.google.com/rss/search?q=site:apnews.com&hl=en-US&gl=US&ceid=US:en,yes,daily
WP04,The Conversation (World/Politics),Global Politics,Liberal internationalist/context,10,"Academic-written global politics analysis, replaces paywalled Economist",https://theconversation.com/global/politics/articles.atom,yes,daily
WP05,War on the Rocks,Global Politics,Strategic analysis,9,"Foreign policy/security specialist analysis, replaces paywalled Foreign Affairs",https://warontherocks.com/feed/,yes,daily
WP07,International Crisis Group,Global Politics,Neutral,9,Conflict analysis and monitoring,https://www.crisisgroup.org/rss.xml,yes,daily
WP08,CSIS,Global Politics,Centre,8,Strategic and international studies think tank,https://www.csis.org/rss.xml,yes,daily
AI01,OpenAI Blog,AI,,10,Official lab announcements,https://openai.com/news/rss.xml,yes,daily
AI02,Anthropic News,AI,,10,"Anthropic has no official public RSS feed (confirmed: no autodiscovery tag, no working /rss.xml). Confirmed working workaround: Google News site-search feed, returns live Anthropic news items",https://news.google.com/rss/search?q=site:anthropic.com/news&hl=en-US&gl=US&ceid=US:en,yes,daily
AI03,Google DeepMind Blog,AI,,9,Official lab announcements,https://deepmind.google/blog/rss.xml,yes,daily
AI04,Import AI,AI,,10,Jack Clark's weekly AI newsletter,https://importai.substack.com/feed,yes,weekly
AI05,SemiAnalysis,AI,,8,"Compute/chips/AI industry analysis, deep-dives sometimes paywalled",https://semianalysis.com/feed/,partial,daily
AI06,Ars Technica AI,AI,,8,Replaces metered MIT Technology Review AI,https://arstechnica.com/ai/feed/,yes,daily
AI07,Hugging Face Blog,AI,,7,Open-source AI community and model releases,https://huggingface.co/blog/feed.xml,yes,daily
